id,listing_url,last_scraped,source,name,description,picture_url,host_id,host_url,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
42515,https://www.airbnb.com/rooms/42515,2025-03-23,city scrape,Geneva center - Hosting females,No description,https://a0.muscache.com/pictures/10640277/ff1da5fd_original.jpg,185647,https://www.airbnb.com/users/show/185647,2010-07-30,"Geneva, Switzerland",within a few hours,100.0,88.0,f,https://a0.muscache.com/im/users/185647/profile_pic/1316167292/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/185647/profile_pic/1316167292/original.jpg?aki_policy=profile_x_medium,1,1,"['email', 'phone']",t,t,Commune de Genève,46.20198,6.15672,Private room in rental unit,Private room,1,1.5,1.5 shared baths,1.0,1.0,"[""Paid washer \u2013 In building"", ""Elevator"", ""Stove"", ""Cooking basics"", ""Shared hot tub"", ""Hangers"", ""Wifi"", ""Dryer"", ""Heating"", ""Oven"", ""Hair dryer"", ""Kitchen"", ""Hot water"", ""Refrigerator"", ""Dishes and silverware"", ""Iron"", ""Bathtub"", ""TV with standard cable"", ""Essentials"", ""Host greets you""]",89.0,3,1125,3,3,1125,1125,3.0,1125.0,True,23,53,83,358,2025-03-23,79,6,0,277,6,36,4.74,4.73,4.78,4.86,4.84,4.85,4.55,f,1,0,1,0,0.48
203997,https://www.airbnb.com/rooms/203997,2025-03-23,city scrape,Top location studio 1 block from lake!,"Spacious studio with washer/dryer, Wi-fi, supermarket and gym in the same building, cleaner + ironing, cable HDTV, everything you need! Great public transport to UN, IO's, bus stop on your doorstep and the lake just a stone's throw away.",https://a0.muscache.com/pictures/14163740/9392557b_original.jpg,1001280,https://www.airbnb.com/users/show/1001280,2011-08-21,"Geneva, Switzerland",within an hour,100.0,100.0,t,https://a0.muscache.com/im/pictures/user/3bbea84c-25ee-4cbf-b728-a983dd3153e0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3bbea84c-25ee-4cbf-b728-a983dd3153e0.jpg?aki_policy=profile_x_medium,6,12,"['email', 'phone']",t,t,Commune de Genève,46.19964,6.1558,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,0.0,"[""Elevator"", ""Shampoo"", ""Luggage dropoff allowed"", ""Private entrance"", ""Smoke alarm"", ""Fire extinguisher"", ""Hangers"", ""Free washer \u2013 In unit"", ""Wifi"", ""Heating"", ""Hair dryer"", ""Microwave"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Refrigerator"", ""Dishes and silverware"", ""Iron"", ""Lake access"", ""Free dryer \u2013 In unit"", ""TV with standard cable"", ""Essentials"", ""Host greets you""]",128.0,5,730,5,5,1125,1125,5.0,1125.0,True,20,40,70,78,2025-03-23,92,8,0,78,7,80,4.91,4.98,4.89,4.97,4.99,4.96,4.81,t,2,2,0,0,0.61
276025,https://www.airbnb.com/rooms/276025,2025-03-23,city scrape,Lovely flat by Geneva lake,"This cozy flat is located in a very pleasant village, nearby Geneva lake, and near all facilities, such as groceries, trains, bus stops, banks, etc. It's perfect for a family with 2-3 children. Geneva center is at only 10 minutes by car/by train.<br />There's no lift!",https://a0.muscache.com/pictures/4156456/d3aed209_original.jpg,1442438,https://www.airbnb.com/users/show/1442438,2011-11-25,"Geneva, Switzerland",within an hour,100.0,100.0,t,https://a0.muscache.com/im/users/1442438/profile_pic/1400101811/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1442438/profile_pic/1400101811/original.jpg?aki_policy=profile_x_medium,2,2,"['email', 'phone']",t,t,Versoix,46.28031,6.16833,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,4.0,"[""Toaster"", ""Free dryer \u2013 In building"", ""Crib"", ""Stove"", ""Freezer"", ""Bed linens"", ""Baby safety gates"", ""Dishwasher"", ""Long term stays allowed"", ""Cooking basics"", ""Paid parking off premises"", ""Baking sheet"", ""Luggage dropoff allowed"", ""TV"", ""Smoke alarm"", ""Children\u2019s dinnerware"", ""Fire extinguisher"", ""Hangers"", ""Wifi"", ""Baby bath"", ""Heating"", ""Dining table"", ""Indoor fireplace"", ""Hair dryer"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Clothing storage: closet and dresser"", ""Oven"", ""Microwave"", ""Coffee maker"", ""High chair"", ""Hot water"", ""Kitchen"", ""Children\u2019s books and toys"", ""BBQ grill"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Extra pillows and blankets"", ""Outdoor dining area"", ""Free street parking"", ""Portable fans"", ""Outdoor furniture"", ""Books and reading material"", ""Hot water kettle"", ""Dishes and silverware"", ""Fire pit"", ""Cleaning products"", ""Iron"", ""Lake access"", ""Body soap"", ""Shared beach access"", ""Essentials"", ""Free washer \u2013 In building"", ""Fireplace guards""]",70.0,7,360,7,7,1125,1125,7.0,1125.0,True,0,0,0,238,2025-03-23,122,4,0,157,4,56,4.64,4.7,4.74,4.88,4.89,4.77,4.68,f,1,1,0,0,0.77
399388,https://www.airbnb.com/rooms/399388,2025-03-23,city scrape,Nice modern bedroom with balcony,"Unwind in this modern private bedroom with a comfortable king-size bed, perfect for one or two guests.<br /><br />Enjoy direct access to a balcony with a table, chairs, and a cozy cushioned sofa, facing west and overlooking a peaceful green park. <br /><br />The room is fully equipped with a desk, chair, relaxing chair, and wardrobe, offering both comfort and functionality.<br /><br />It’s the perfect spot to relax and feel at home while visiting Geneva!",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mzk5Mzg4/original/e9b8f14d-e019-4059-b0d2-9d998d53dc9d.jpeg,1994454,https://www.airbnb.com/users/show/1994454,2012-03-23,"Geneva, Switzerland",within an hour,100.0,90.0,t,https://a0.muscache.com/im/pictures/user/ebd3be38-988a-47cb-89b3-df1158052d7b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ebd3be38-988a-47cb-89b3-df1158052d7b.jpg?aki_policy=profile_x_medium,2,3,"['email', 'phone', 'work_email']",t,t,Commune de Genève,46.18904,6.13908,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Elevator"", ""Bed linens"", ""Blender"", ""Outdoor playground"", ""Room-darkening shades"", ""Mountain view"", ""Long term stays allowed"", ""Cooking basics"", ""Paid parking lot off premises"", ""Central heating"", ""Amicus stainless steel electric stove"", ""Smoking allowed"", ""Hangers"", ""Free washer \u2013 In unit"", ""Wifi"", ""Pets allowed"", ""Shared patio or balcony"", ""Coffee maker: espresso machine, french press"", ""Single level home"", ""Dining table"", ""Hair dryer"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Microwave"", ""Kitchen"", ""Hot water"", ""Refrigerator"", ""Extra pillows and blankets"", ""Outdoor dining area"", ""Outdoor furniture"", ""Hot water kettle"", ""Coffee"", ""Dishes and silverware"", ""Lock on bedroom door"", ""Cleaning products"", ""Iron"", ""Clothing storage: wardrobe and dresser"", ""Free dryer \u2013 In unit"", ""Bathtub"", ""Wine glasses"", ""Sun loungers"", ""Essentials"", ""Window guards"", ""Host greets you""]",55.0,2,1125,2,2,1125,1125,2.0,1125.0,True,4,5,22,223,2025-03-23,58,8,0,142,7,48,4.85,4.81,4.88,4.95,4.9,4.71,4.71,f,2,0,2,0,0.38
419631,https://www.airbnb.com/rooms/419631,2025-03-23,city scrape,Beautiful Apm't in central Geneva (NB Guest Room),"Fabulous apartment with design interior in charming Geneva building with high ceilings and hardwood floors .<br />Left bank (Rive gauche) a 10 minute walk to the lake and jet d'eau, city center, shopping etc.<br />Surface area 190m2 with 7 rooms & 2 bathrooms (1st floor with elevator)<br /><br />Big Entrance<br />Dining Room<br />Living Room (with big sofa)<br />Play Room<br />Master Bedroom<br />Office<br />Guest Bedroom (double bed for GUEST)",https://a0.muscache.com/pictures/e591abb4-fc83-458b-b29a-edc859346567.jpg,2086993,https://www.airbnb.com/users/show/2086993,2012-04-07,"Geneva, Switzerland",within an hour,100.0,92.0,f,https://a0.muscache.com/im/users/2086993/profile_pic/1374756765/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2086993/profile_pic/1374756765/original.jpg?aki_policy=profile_x_medium,2,2,"['email', 'phone', 'work_email']",t,t,Commune de Genève,46.1995,6.17308,Private room in rental unit,Private room,2,1.5,1.5 baths,1.0,1.0,"[""Elevator"", ""Dishwasher"", ""Shampoo"", ""Electrolux induction stove"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Private entrance"", ""Fast wifi \u2013 92 Mbps"", ""Hangers"", ""Free washer \u2013 In unit"", ""Garden view"", ""Heating"", ""Shared patio or balcony"", ""Oven"", ""Dedicated workspace"", ""Hair dryer"", ""Microwave"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Refrigerator"", ""Indoor fireplace: wood-burning"", ""Free street parking"", ""72 inch HDTV with Amazon Prime Video"", ""Dishes and silverware"", ""Lock on bedroom door"", ""Iron"", ""Lake access"", ""Free dryer \u2013 In unit"", ""Essentials"", ""Board games""]",100.0,2,14,2,2,1125,1125,2.0,1125.0,True,21,37,67,67,2025-03-23,81,3,0,67,4,18,4.94,4.98,5.0,4.99,4.99,4.86,4.91,t,2,1,1,0,0.56
626512,https://www.airbnb.com/rooms/626512,2025-03-23,city scrape,Design apartment 2 blocks from lake,"Very well located, all commodities at walking distance. Fully refurbished with taste and always very clean.",https://a0.muscache.com/pictures/10170754/3bfad7de_original.jpg,3110118,https://www.airbnb.com/users/show/3110118,2012-07-31,"Geneva, Switzerland",within an hour,100.0,80.0,t,https://a0.muscache.com/im/pictures/user/7da2d214-19cf-4bd0-ae92-173c80760c53.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7da2d214-19cf-4bd0-ae92-173c80760c53.jpg?aki_policy=profile_x_medium,2,3,"['email', 'phone']",t,t,Commune de Genève,46.2114,6.15107,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Carbon monoxide alarm"", ""Elevator"", ""Stove"", ""Bed linens"", ""Dishwasher"", ""Long term stays allowed"", ""Shampoo"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Hangers"", ""Wifi"", ""Dryer"", ""Heating"", ""Washer"", ""Indoor fireplace"", ""Hair dryer"", ""Oven"", ""Pocket wifi"", ""Lockbox"", ""Microwave"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Refrigerator"", ""Free street parking"", ""Dishes and silverware"", ""Iron"", ""Lake access"", ""TV with standard cable"", ""Self check-in"", ""Essentials"", ""Ethernet connection""]",112.0,13,700,13,13,700,700,13.0,700.0,True,2,21,21,21,2025-03-23,56,14,1,21,14,255,4.98,4.95,4.96,5.0,4.98,4.84,4.75,f,1,1,0,0,0.37
649023,https://www.airbnb.com/rooms/649023,2025-03-23,city scrape,Artistic studio in Geneva Old Town,A cosy studio featuring a comfortable double bed and all the commodities. Right in the heart of Geneva Old Town - next to St. Pierre Cathedral! Come and spend a few days in Geneva like a local.,https://a0.muscache.com/pictures/fd80075d-ff34-4c6d-872f-08e3a0202574.jpg,2375758,https://www.airbnb.com/users/show/2375758,2012-05-15,"Geneva, Switzerland",within an hour,100.0,100.0,t,https://a0.muscache.com/im/users/2375758/profile_pic/1337712692/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2375758/profile_pic/1337712692/original.jpg?aki_policy=profile_x_medium,1,2,"['email', 'phone', 'work_email']",t,t,Commune de Genève,46.20175,6.14852,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Lockbox"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Elevator"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Heating"", ""Cooking basics"", ""Hot tub"", ""Dishes and silverware""]",87.0,1,21,1,1,1125,1125,1.0,1125.0,True,11,28,48,123,2025-03-23,167,35,1,123,37,210,4.92,4.95,4.92,4.97,4.96,4.99,4.85,f,1,1,0,0,1.1
706264,https://www.airbnb.com/rooms/706264,2025-03-23,city scrape,Cosy and very central apartment,"Welcome to a small apartment ideally located in the heart of Geneva,  very comfortable and well-equipped. 5 minutes' walk from the lake and close to buses and trams. 10 minutes' walk from Central Station.",https://a0.muscache.com/pictures/1341d00f-3566-462c-be49-158aa1ee4014.jpg,3629403,https://www.airbnb.com/users/show/3629403,2012-09-20,"Geneva, Switzerland",within an hour,100.0,100.0,f,https://a0.muscache.com/im/pictures/user/109ad57a-f28e-4b0a-a199-f03123b798dd.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/109ad57a-f28e-4b0a-a199-f03123b798dd.jpg?aki_policy=profile_x_medium,1,1,"['email', 'phone']",t,t,Commune de Genève,46.211998,6.150082,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Toaster"", ""Elevator"", ""Bed linens"", ""Room-darkening shades"", ""Dishwasher"", ""Long term stays allowed"", ""Shampoo"", ""Cooking basics"", ""Clothing storage: closet"", ""Baking sheet"", ""Central heating"", ""Hangers"", ""Wifi"", ""43 inch HDTV with standard cable"", ""Dining table"", ""Hair dryer"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Pocket wifi"", ""Lockbox"", ""Microwave"", ""Kitchen"", ""Hot water"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Portable fans"", ""Books and reading material"", ""Hot water kettle"", ""Shower gel"", ""Coffee"", ""Dishes and silverware"", ""Cleaning products"", ""Coffee maker: Nespresso"", ""Iron"", ""Lake access"", ""Body soap"", ""Laundromat nearby"", ""Induction stove"", ""Wine glasses"", ""Self check-in"", ""Essentials""]",111.0,6,60,7,7,1125,1125,7.0,1125.0,True,18,28,37,255,2025-03-23,143,3,0,174,5,36,4.77,4.8,4.81,4.86,4.84,4.84,4.66,f,1,1,0,0,0.98
751882,https://www.airbnb.com/rooms/751882,2025-03-23,city scrape,Apartment in the center of Geneva,Very central location walking distance to the city,https://a0.muscache.com/pictures/3b4fa372-9786-47d0-ad6a-f242d4a20396.jpg,777025,https://www.airbnb.com/users/show/777025,2011-07-04,"Geneva, Switzerland",within a day,100.0,80.0,f,https://a0.muscache.com/im/pictures/user/0822a4d1-0dc9-4675-b8e7-f610bdffd9bc.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0822a4d1-0dc9-4675-b8e7-f610bdffd9bc.jpg?aki_policy=profile_x_medium,2,5,"['email', 'phone', 'work_email']",t,t,Commune de Genève,46.20234,6.1621,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,2.0,2.0,"[""Iron"", ""Kitchen"", ""Hot water"", ""TV"", ""Elevator"", ""Stove"", ""Dedicated workspace"", ""Keypad"", ""Air conditioning"", ""Wifi"", ""Self check-in"", ""Essentials"", ""Shampoo"", ""Heating"", ""Washer"", ""Indoor fireplace"", ""Hair dryer"", ""Luggage dropoff allowed""]",217.0,3,1125,3,3,1125,1125,3.0,1125.0,True,17,47,77,352,2025-03-23,73,0,0,271,0,0,4.29,4.3,3.95,4.69,4.67,4.85,4.28,f,2,1,1,0,0.61
751941,https://www.airbnb.com/rooms/751941,2025-03-23,city scrape,Double bed on a mezzanine floor,"Mezzanine floor double bed with a shared bathroom, I live in the bigger room, but thee is a separate wc in the living room",https://a0.muscache.com/pictures/10621623/1468a592_original.jpg,777025,https://www.airbnb.com/users/show/777025,2011-07-04,"Geneva, Switzerland",within a day,100.0,80.0,f,https://a0.muscache.com/im/pictures/user/0822a4d1-0dc9-4675-b8e7-f610bdffd9bc.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0822a4d1-0dc9-4675-b8e7-f610bdffd9bc.jpg?aki_policy=profile_x_medium,2,5,"['email', 'phone', 'work_email']",t,t,Commune de Genève,46.20282,6.16197,Private room in rental unit,Private room,2,1.5,1.5 baths,1.0,0.0,"[""Kitchen"", ""Elevator"", ""Stove"", ""Shared hot tub"", ""Wifi"", ""Essentials"", ""HDTV with DVD player"", ""Shampoo"", ""Heating"", ""Washer"", ""Indoor fireplace"", ""Dedicated workspace""]",76.0,1,1125,1,1,1125,1125,1.0,1125.0,True,19,49,79,354,2025-03-23,74,2,0,273,2,12,4.5,4.58,4.58,4.7,4.82,4.82,4.53,f,2,1,1,0,0.62
